year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2013-01-15,134165.79740621743,811436.2298470816,2145051.964711436,4511147.782410598,3628768.9118889184,129048.25389499275
2013-01-16,134163.3692929256,811451.5551666417,2145239.650148378,4511626.108185198,3629128.627354524,129040.19965078915
2013-01-17,134160.87650351657,811467.2550064566,2145428.7130272794,4512108.279468691,3629491.458102315,129032.2214702632
2013-01-18,134158.3190379904,811483.3293665265,2145619.1533481404,4512594.296261078,3629857.4041322935,129024.31935341496
2013-01-19,134155.69689634704,811499.7782468512,2145810.9711109605,4513084.1585623585,3630226.4654444573,129016.4933002444
2013-01-20,134153.0100785865,811516.6016474308,2146004.166315741,4513577.866372532,3630598.642038808,129008.74331075152
2013-01-21,134150.2585847088,811533.7995682652,2146198.73896248,4514075.419691599,3630973.933915345,129001.06938493633
2013-01-22,134147.44241471394,811551.3720093546,2146394.689051179,4514576.81851956,3631352.341074067,128993.47152279882
2013-01-23,134144.56156860187,811569.3189706987,2146592.016581838,4515082.062856413,3631733.8635149766,128985.94972433898
2013-01-24,134141.61604637263,811587.6404522976,2146790.721554456,4515591.152702159,3632118.501238072,128978.50398955682
2013-01-25,134138.60584802626,811606.3364541517,2146990.8039690335,4516104.088056801,3632506.2542433543,128971.13431845236
2013-01-26,134135.53097356265,811625.4069762602,2147192.2638255702,4516620.868920335,3632897.1225308217,128963.84071102558
2013-01-27,134132.39142298192,811644.8520186237,2147395.101124067,4517141.49529276,3633291.106100476,128956.62316727647
2013-01-28,134129.187196284,811664.6715812425,2147599.3158645234,4517665.967174082,3633688.2049523164,128949.48168720506
2013-01-29,134125.91829346892,811684.8656641156,2147804.908046939,4518194.284564296,3634088.419086343,128942.41627081131
2013-01-30,134122.58471453664,811705.4342672438,2148011.877671314,4518726.4474634025,3634491.7485025553,128935.42691809525
2013-01-31,134119.1864594872,811726.3773906268,2148220.2247376484,4519262.455871403,3634898.193200955,128928.51362905688
2013-02-01,134115.72352832058,811747.6950342647,2148429.9492459428,4519802.309788297,3635307.75318154,128921.67640369618
2013-02-02,134112.1959210368,811769.3871981575,2148641.0511961966,4520346.009214085,3635720.428444313,128914.9152420132
2013-02-03,134108.60363763582,811791.4538823052,2148853.53058841,4520893.554148765,3636136.21898927,128908.23014400786
2013-02-04,134104.94667811767,811813.8950867075,2149067.3874225826,4521444.944592339,3636555.124816414,128901.6211096802
2013-02-05,134101.22504248237,811836.7108113649,2149282.6216987153,4522000.180544807,3636977.1459257444,128895.08813903025
2013-02-06,134097.43873072992,811859.9010562773,2149499.233416807,4522559.262006168,3637402.2823172617,128888.63123205797
2013-02-07,134093.58774286025,811883.4658214442,2149717.2225768585,4523122.188976422,3637830.5339909643,128882.25038876338
2013-02-08,134089.6720788734,811907.405106866,2149936.589178869,4523688.961455569,3638261.9009468537,128875.94560914647
2013-02-09,134085.6917387694,811931.7189125428,2150157.333222839,4524259.57944361,3638696.3831849284,128869.71689320722
2013-02-10,134081.64672254826,811956.4072384746,2150379.4547087695,4524834.042940545,3639133.9807051914,128863.5642409457
2013-02-11,134077.5370302099,811981.4700846609,2150602.953636659,4525412.351946373,3639574.6935076388,128857.48765236183
2013-02-12,134073.36266175436,812006.9074511024,2150827.8300065077,4525994.506461093,3640018.5215922734,128851.48712745565
2013-02-13,134069.12361718167,812032.7193377985,2151054.083818316,4526580.506484707,3640465.4649590934,128845.56266622715
2013-02-14,134064.81989649183,812058.9057447498,2151281.7150720847,4527170.352017215,3640915.5236081006,128839.71426867634
2013-02-15,134060.45149968477,812085.4666719555,2151510.723767812,4527764.043058616,3641368.697539293,128833.9419348032
2013-02-16,134056.01842676054,812112.4021194163,2151741.1099054986,4528361.579608911,3641824.9867526726,128828.24566460773
2013-02-17,134051.52067771918,812139.7120871319,2151972.873485145,4528962.961668098,3642284.391248238,128822.62545808997
2013-02-18,134046.9582525606,812167.3965751025,2152206.0145067517,4529568.189236181,3642746.91102599,128817.0813152499
2013-02-19,134042.33115128486,812195.4555833279,2152440.532970317,4530177.262313155,3643212.546085928,128811.61323608749
2013-02-20,134037.63937389196,812223.889111808,2152676.428875842,4530790.180899022,3643681.296428052,128806.22122060276
2013-02-21,134032.88292038185,812252.6971605432,2152913.702223327,4531406.944993783,3644153.162052362,128800.90526879572
2013-02-22,134028.06179075464,812281.8797295332,2153152.3530127713,4532027.554597438,3644628.14295886,128795.66538066638
2013-02-23,134023.1759850102,812311.436818778,2153392.381244175,4532652.009709986,3645106.2391475425,128790.5015562147
2013-02-24,134018.22550314857,812341.3684282777,2153633.7869175384,4533280.310331428,3645587.450618412,128785.41379544072
2013-02-25,134013.21034516982,812371.6745580321,2153876.570032861,4533912.456461762,3646071.777371467,128780.40209834439
2013-02-26,134008.13051107386,812402.3552080414,2154120.7305901432,4534548.448100991,3646559.219406709,128775.46646492576
2013-02-27,134002.98600086075,812433.4103783058,2154366.268589386,4535188.285249113,3647049.7767241374,128770.60689518484
2013-02-28,133997.77681453043,812464.8400688248,2154613.1840305864,4535831.967906127,3647543.4493237515,128765.82338912158
2013-03-01,133992.50295208298,812496.6442795987,2154861.4769137474,4536479.496072035,3648040.237205552,128761.115946736
